Tenure,Age,Category,Gender,Department,Dept_Ratio,Amount,Class
2690,24,2,1,33,0.155,21.1293,Active
719,22,0,0,15,0.031,18.29,Non-active
719,22,1,0,41,0.027,18.29,Non-active
351,21,1,0,42,0.017,29.5794,Non-active
351,23,1,1,20,0.017,29.5794,Non-active
351,24,1,0,20,0.017,29.5794,Non-active
8158,62,0,1,16,0.011,36.1483,Non-active
332,22,1,1,15,0.031,30.1997,Non-active
351,22,0,0,15,0.031,18.29,Non-active
7400,57,1,1,29,0.195,21.3228,Non-active
8250,53,1,1,33,0.155,22.2272,Non-active
9673,64,0,1,33,0.155,30.986,Non-active
1143,23,2,0,33,0.155,20.1415,Active
195,22,2,0,21,0.014,20.3549,Non-active
1667,21,2,1,22,0.016,20.1415,Non-active
869,31,2,1,8,0.015,20.719,Non-active
1621,30,2,1,38,0.012,25.1385,Non-active
1896,29,2,0,37,0.099,21.3228,Non-active
1616,24,2,1,5,0.05,20.1415,Non-active
1145,22,1,1,21,0.014,25.1385,Non-active
1724,24,1,0,21,0.014,26.027,Non-active
2565,53,2,1,29,0.195,20.1415,Non-active
1537,67,2,1,33,0.155,20.1415,Non-active
190,34,1,0,33,0.155,20.3926,Non-active
620,28,0,0,31,0.027,25.1385,Non-active
128,42,0,0,8,0.015,37.9555,Non-active
283,22,1,0,9,0.02,18.29,Non-active
341,19,2,1,21,0.014,20.3549,Non-active
2606,61,2,1,33,0.155,20.1415,Active
1048,27,0,0,37,0.099,28.7769,Non-active
1393,23,2,0,1,0.019,20.1415,Non-active
1532,22,2,1,28,0.046,20.1415,Non-active
160,22,2,1,39,0.13,21.3228,Non-active
161,32,2,1,39,0.13,21.3228,Non-active
367,28,2,0,39,0.13,21.3228,Non-active
365,19,2,0,14,0.124,20.1415,Non-active
366,32,1,0,22,0.016,23.3901,Non-active
1849,23,2,1,28,0.046,20.1415,Non-active
2452,25,2,0,39,0.13,23.3901,Non-active
352,23,2,0,5,0.05,20.1415,Non-active
1135,23,1,1,15,0.031,28.7178,Non-active
148,30,2,1,11,0.096,20.1415,Non-active
2122,28,2,0,39,0.13,23.3901,Non-active
159,22,2,0,11,0.096,20.1415,Non-active
362,27,2,0,11,0.096,20.1415,Non-active
358,20,2,1,31,0.027,20.1415,Non-active
275,22,2,1,39,0.13,21.3228,Non-active
951,25,0,0,39,0.13,25.1385,Non-active
296,26,2,0,29,0.195,20.1415,Non-active
150,22,2,0,11,0.096,20.1415,Non-active
318,24,2,0,31,0.027,21.3228,Non-active
1488,28,0,1,14,0.124,29.6865,Non-active
400,24,2,0,39,0.13,21.3228,Non-active
1109,25,2,0,39,0.13,21.3228,Non-active
343,19,2,0,6,0.001,20.1415,Non-active
1038,37,1,1,37,0.099,36.1483,Non-active
2448,29,0,0,11,0.096,27.5888,Active
1042,21,2,0,1,0.019,20.1415,Non-active
1114,22,2,1,39,0.13,21.3228,Non-active
1532,27,2,1,29,0.195,20.1415,Non-active
1598,26,2,0,29,0.195,20.1415,Non-active
268,25,0,1,30,0.025,27.8673,Non-active
135,48,2,0,29,0.195,20.1415,Non-active
573,30,2,1,33,0.155,20.1415,Non-active
732,28,2,0,11,0.096,21.1293,Non-active
276,22,2,1,29,0.195,20.1415,Non-active
353,25,2,0,29,0.195,20.1415,Non-active
2209,25,2,0,33,0.155,21.1293,Non-active
1522,22,2,1,37,0.099,21.3228,Non-active
524,22,2,1,37,0.099,21.3228,Non-active
1376,23,2,1,31,0.027,20.1415,Non-active
394,20,2,0,37,0.099,21.3228,Non-active
465,19,2,1,31,0.027,20.1415,Non-active
2344,27,2,1,37,0.099,21.3228,Non-active
1191,24,2,0,37,0.099,21.3228,Non-active
619,21,2,0,37,0.099,21.3228,Non-active
1150,20,2,1,31,0.027,20.1415,Non-active
758,31,2,0,11,0.096,20.1415,Active
160,19,2,1,14,0.124,20.1415,Non-active
41,24,2,1,33,0.155,20.1415,Non-active
366,23,2,1,33,0.155,20.1415,Non-active
430,26,2,0,5,0.05,20.1415,Non-active
6420,59,1,1,33,0.155,20.1415,Non-active
421,19,2,0,39,0.13,21.3228,Non-active
2445,25,2,0,39,0.13,22.008,Active
199,23,2,0,5,0.05,20.1415,Non-active
199,22,2,1,5,0.05,20.1415,Non-active
199,19,2,1,29,0.195,20.1415,Non-active
199,20,2,0,31,0.027,20.1415,Non-active
574,24,2,0,37,0.099,21.3228,Non-active
168,39,2,1,11,0.096,20.1415,Non-active
251,20,2,1,31,0.027,20.1415,Non-active
558,23,2,0,39,0.13,21.3228,Non-active
402,28,2,0,11,0.096,20.1415,Non-active
125,20,2,1,39,0.13,21.3228,Non-active
50,21,2,1,33,0.155,20.1415,Non-active
157,21,2,0,33,0.155,20.1415,Non-active
734,26,2,0,39,0.13,22.008,Non-active
472,24,2,1,33,0.155,20.1415,Non-active
386,42,2,1,29,0.195,20.1415,Non-active
4020,55,0,1,40,0.009,36.1483,Active
220,24,2,0,29,0.195,20.1415,Non-active
975,22,2,1,39,0.13,25.1385,Non-active
1352,21,2,1,39,0.13,23.3901,Non-active
302,19,2,0,29,0.195,20.1415,Non-active
924,21,2,1,33,0.155,20.1415,Non-active
154,31,0,1,30,0.025,37.5,Non-active
893,54,0,1,24,0.011,62.672,Non-active
1229,31,2,1,22,0.016,25.1385,Non-active
218,24,2,0,39,0.13,21.3228,Non-active
45,27,0,0,39,0.13,27.8673,Non-active
2830,33,1,1,29,0.195,21.1293,Non-active
913,34,0,1,4,0.027,41.3107,Non-active
112,38,2,1,14,0.124,20.1415,Non-active
115,20,2,0,33,0.155,20.1415,Non-active
475,29,2,1,11,0.096,20.1415,Non-active
940,32,0,1,4,0.027,42.5983,Non-active
1021,32,0,0,17,0.03,34.8607,Non-active
662,41,0,0,13,0.006,37.3557,Non-active
1017,25,1,0,41,0.027,18.29,Non-active
4936,35,0,0,4,0.027,40.342,Non-active
2383,55,0,0,8,0.015,93.7682,Non-active
8236,60,0,1,29,0.195,29.6865,Non-active
1049,21,2,0,14,0.124,20.1415,Non-active
10613,73,2,0,10,0.011,26.6492,Active
1208,24,2,0,10,0.011,26.6492,Non-active
2677,33,2,0,10,0.011,26.6492,Non-active
2120,26,2,0,10,0.011,26.6492,Non-active
167,25,2,1,10,0.011,26.6492,Non-active
5728,53,0,1,33,0.155,40.342,Active
10247,64,1,1,29,0.195,21.8659,Active
2192,31,1,1,30,0.025,36.1483,Non-active
365,23,2,1,39,0.13,21.3228,Non-active
368,22,0,0,15,0.031,18.29,Non-active
368,22,0,1,15,0.031,18.29,Non-active
548,21,2,1,14,0.124,21.8659,Non-active
1143,22,2,1,39,0.13,23.3901,Non-active
357,22,1,1,9,0.02,18.29,Non-active
357,22,1,0,9,0.02,18.29,Non-active
886,24,0,0,28,0.046,25.1385,Non-active
475,32,2,0,39,0.13,21.3228,Non-active
1208,34,0,0,16,0.011,67.3077,Non-active
335,20,1,1,20,0.017,18.29,Non-active
742,23,0,0,15,0.031,18.29,Non-active
743,22,0,0,15,0.031,18.29,Non-active
363,22,1,1,42,0.017,18.29,Non-active
13,20,1,0,41,0.027,18.29,Non-active
2256,31,1,0,28,0.046,21.8659,Active
372,26,2,0,1,0.019,20.1415,Non-active
563,28,0,1,24,0.011,31.6357,Non-active
0,20,2,1,33,0.155,20.1415,Non-active
1124,39,2,0,38,0.012,25.1385,Non-active
239,19,2,1,29,0.195,20.1415,Non-active
779,22,2,0,33,0.155,20.1415,Non-active
3907,52,1,1,33,0.155,24.197,Active
234,26,2,1,11,0.096,20.1415,Non-active
784,24,2,1,33,0.155,20.1415,Non-active
42,21,2,1,33,0.155,20.1415,Non-active
35,22,2,1,33,0.155,20.1415,Non-active
566,28,2,0,14,0.124,21.8659,Non-active
1425,25,2,0,33,0.155,23.4324,Non-active
1264,22,2,1,28,0.046,20.1415,Non-active
2242,26,2,1,17,0.03,22.008,Active
1091,22,2,1,37,0.099,21.3228,Non-active
2043,25,2,0,39,0.13,21.3228,Non-active
793,20,2,1,39,0.13,21.3228,Non-active
1108,23,2,1,33,0.155,20.1415,Non-active
1173,22,2,1,33,0.155,20.1415,Non-active
518,23,2,1,29,0.195,20.1415,Non-active
234,22,2,0,29,0.195,20.1415,Non-active
1462,22,2,1,29,0.195,20.1415,Non-active
425,18,2,1,29,0.195,20.1415,Non-active
549,20,2,1,29,0.195,20.1415,Non-active
185,20,2,1,31,0.027,20.1415,Non-active
80,22,2,1,33,0.155,20.1415,Non-active
89,30,1,1,14,0.124,21.3228,Non-active
182,19,2,1,31,0.027,20.1415,Non-active
182,19,2,0,31,0.027,20.1415,Non-active
618,24,2,0,31,0.027,20.1415,Non-active
784,24,2,1,14,0.124,20.1415,Non-active
1591,23,2,1,33,0.155,20.1415,Non-active
122,23,2,1,11,0.096,20.1415,Non-active
